 distance from origin  electron density
              0.00000           0.02038
              0.04000           0.02244
              0.08000           0.02471
              0.12000           0.02721
              0.16000           0.02997
              0.20000           0.03300
              0.24000           0.03633
              0.28000           0.04000
              0.32000           0.04404
              0.36000           0.04847
              0.40000           0.05334
              0.44000           0.05869
              0.48000           0.06458
              0.52000           0.07105
              0.56000           0.07817
              0.60000           0.08603
              0.64000           0.09470
              0.68000           0.10429
              0.72000           0.11489
              0.76000           0.12659
              0.80000           0.13948
              0.84000           0.15362
              0.88000           0.16906
              0.92000           0.18587
              0.96000           0.20420
              1.00000           0.22434
              1.04000           0.24686
              1.08000           0.27238
              1.12000           0.30125
              1.16000           0.33278
              1.20000           0.36457
              1.24000           0.39239
              1.28000           0.41134
              1.32000           0.41793
              1.36000           0.41189
              1.40000           0.39623
              1.44000           0.37565
              1.48000           0.35443
              1.52000           0.33517
              1.56000           0.31876
              1.60000           0.30499
              1.64000           0.29325
              1.68000           0.28305
              1.72000           0.27409
              1.76000           0.26627
              1.80000           0.25961
              1.84000           0.25413
              1.88000           0.24987
              1.92000           0.24682
              1.96000           0.24500
              2.00000           0.24440
              2.04000           0.24500
              2.08000           0.24682
              2.12000           0.24987
              2.16000           0.25413
              2.20000           0.25961
              2.24000           0.26627
              2.28000           0.27409
              2.32000           0.28305
              2.36000           0.29325
              2.40000           0.30499
              2.44000           0.31876
              2.48000           0.33517
              2.52000           0.35443
              2.56000           0.37565
              2.60000           0.39623
              2.64000           0.41189
              2.68000           0.41793
              2.72000           0.41134
              2.76000           0.39239
              2.80000           0.36457
              2.84000           0.33278
              2.88000           0.30125
              2.92000           0.27238
              2.96000           0.24686
              3.00000           0.22434
              3.04000           0.20420
              3.08000           0.18587
              3.12000           0.16906
              3.16000           0.15362
              3.20000           0.13948
              3.24000           0.12659
              3.28000           0.11489
              3.32000           0.10429
              3.36000           0.09470
              3.40000           0.08603
              3.44000           0.07817
              3.48000           0.07105
              3.52000           0.06458
              3.56000           0.05869
              3.60000           0.05334
              3.64000           0.04847
              3.68000           0.04404
              3.72000           0.04000
              3.76000           0.03633
              3.80000           0.03300
              3.84000           0.02997
              3.88000           0.02721
              3.92000           0.02471
              3.96000           0.02244
              4.00000           0.02038
